id,slug,section_en,section_ar,name_ar,transliteration,name_en,price_aed,image,image_status
1,fransisco,Jusrain Special Paratha,بَراتا جوسرين الخاصة,فرانسيسكو,Fransisco,Francisco paratha roll,7.00,,needs_generation
2,keema,Jusrain Special Paratha,بَراتا جوسرين الخاصة,كيما,Keema,Minced meat paratha,4.50,,needs_generation
3,baid-wa-jibna,Jusrain Special Paratha,بَراتا جوسرين الخاصة,بيض وجبنة,Baid wa Jibna,Egg and cheese paratha,4.50,,needs_generation
4,jibna,Jusrain Special Paratha,بَراتا جوسرين الخاصة,جبنة,Jibna,Cheese paratha,3.00,,needs_generation
5,baid,Jusrain Special Paratha,بَراتا جوسرين الخاصة,بيض,Baid,Egg paratha,4.00,,needs_generation
6,oman-chips-jibna,Jusrain Special Paratha,بَراتا جوسرين الخاصة,أومان شيبس جبنة,Oman Chips Jibna,Oman chips and cheese paratha,4.00,,needs_generation
7,baid-chips-oman-jibna,Jusrain Special Paratha,بَراتا جوسرين الخاصة,بيض شيبس أومان جبنة,Baid Chips Oman Jibna,"Egg, Oman chips and cheese paratha",5.50,,needs_generation
8,lahm-baqari,Jusrain Special Paratha,بَراتا جوسرين الخاصة,لحم بقري,Lahm Baqari,Beef paratha,6.00,,needs_generation
9,dajaj-chilli,Jusrain Special Paratha,بَراتا جوسرين الخاصة,دجاج تشيلي,Dajaj Chilli,Chilli chicken paratha,6.00,,needs_generation
10,dajaj,Jusrain Special Paratha,بَراتا جوسرين الخاصة,دجاج,Dajaj,Chicken paratha,5.50,,needs_generation
11,nutella,Jusrain Special Paratha,بَراتا جوسرين الخاصة,نوتيلا,Nutella,Nutella paratha,4.00,,needs_generation
12,asal,Jusrain Special Paratha,بَراتا جوسرين الخاصة,عسل,Asal,Honey paratha,4.00,,needs_generation
13,shakshuka,Jusrain Special Paratha,بَراتا جوسرين الخاصة,شكشوكة,Shakshuka,Shakshuka paratha,5.00,,needs_generation
14,shakshuka-jibna,Jusrain Special Paratha,بَراتا جوسرين الخاصة,شكشوكة جبنة,Shakshuka Jibna,Shakshuka and cheese paratha,6.00,,needs_generation
15,shai-karak,Hot Drinks,المشروبات الساخنة,شاي كرك,Shai Karak,Karak tea,1.50 / 3.00,menu/images/from_pdf/shai-karak.jpg,from_brochure
16,shai-haleeb-tazij,Hot Drinks,المشروبات الساخنة,شاي حليب طازج,Shai Haleeb Tazij,Fresh milk tea,2.50 / 5.00,,needs_generation
17,shai-aswad,Hot Drinks,المشروبات الساخنة,شاي أسود,Shai Aswad,Black tea,1.50 / 3.00,,needs_generation
18,shai-akhdar,Hot Drinks,المشروبات الساخنة,شاي أخضر,Shai Akhdar,Green tea,1.50 / 3.00,,needs_generation
19,qahwa,Hot Drinks,المشروبات الساخنة,قهوة,Qahwa,Coffee,2.50 / 5.00,,needs_generation
20,shai-zaatar,Hot Drinks,المشروبات الساخنة,شاي زعتر,Shai Zaatar,Thyme tea,3 / 6.00,,needs_generation
21,shai-zaafaran,Hot Drinks,المشروبات الساخنة,شاي زعفران,Shai Zaafaran,Saffron tea,3.50 / 7.00,,needs_generation
22,shorbat-makoolat-bahriya,Special Soups,الشوربات الخاصة,شوربة مأكولات بحرية,Shorbat Makoolat Bahriya,Seafood soup,10.00,,needs_generation
23,shorbat-kareemat-fitr,Special Soups,الشوربات الخاصة,شوربة كريمة فطر,Shorbat Kareemat Fitr,Cream of mushroom soup,10.00,,needs_generation
24,shorbat-kareemat-dajaj,Special Soups,الشوربات الخاصة,شوربة كريمة دجاج,Shorbat Kareemat Dajaj,Cream of chicken soup,10.00,,needs_generation
